title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
Cardinal X,2015,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,"{""812 22nd St. and Tennessee"": """", ""3639 Taraval St"": """", ""1458 33rd Ave."": """", ""Lyon at Chestnut St."": """", ""1559 Underwood Avenue between Lane and Keith"": """", ""1465 Revere Avenue between Keith and Jennings"": """", ""1601 Lane St."": """", ""420 Mason St."": """", ""119 Utah"": """", ""100 Alemany Blvd."": """"}",0,0
Superman,1978,Dovemead Films,Warner Bros. Pictures,Richard Donner,Jerry Siegel,Christopher Reeve,Gene Hackman,Marlon Brando,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
The Bachelor,1999,George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,"{""Danilo's Bakery (Green Street & Bannam Place)"": """", ""Mama's Restaurant (1701 Stockton)"": """", ""Stockton Tunnel (Stockton Street at Sutter Street)"": ""Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area."", ""Columbus Avenue at Green & Stockton"": """", ""Merchant Exchange (465 California Street at Leidesdorff)"": """", ""Washington Square Park (North Beach)"": ""Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington."", ""Sutter-Stockton Garage (330 Sutter Street at Stockton)"": ""Garage roof serves as a heliport in the movie"", ""Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"": ""The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species."", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""Roof of Cable Car (California at Front Street)"": ""SF Cable Cars are the only moving National Historical Landmark."", ""Pacific Stock Exchange (301 Pine Street at Sansome)"": """", ""Nina M. Designs (52 2nd Street at Jessie)"": """", ""Moose's Restaurant (1652 Stockton)"": """"}",0,0
"Murder in the First, Season 1",2014,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,"{""800 Bay Street"": """", ""369 Embarcadero"": """", ""731 Grant Avenue"": """", ""9 Calhoun Terrace"": """", ""Cameron House (920 Sacramento Street)"": """", ""Waverly Alley between Grant and Sacramento Streets"": """", ""Joice Street at Clay Street"": """", ""1201 Columbus Avenue"": """", ""Pier 45"": ""The famous Musee Mecanique is located on Pier 45"", ""1541 Grove Street"": """", ""504 Broadway"": """", ""Berry Street between 3rd and 4th Streets"": """", ""AT&T Park"": """", ""1821 Alabama Street"": """", ""373 Columbus Avenue"": """", ""Hall of Justice (850 Bryant Street)"": """", ""13 Lucky Street"": """", ""Alamo Square Park"": """", ""Palace of Fine Arts (3301 Lyon Street)"": """", ""Dolores Park"": """", ""24th Street between Folsom and Harrison Streets"": """", ""350 Union Street"": """", ""Kearny Street between Broadway and Pacific Avenue"": """", ""50 California Street"": """", ""Ida B. Wells High School (1099 Hayes Street)"": ""Ida B. Wells High School is named after the African-American journalist, suffragist and early leader in the Civil Rights Movement Ida B. Wells""}",0,0
Time After Time,1979,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,"{""One Embarcadero Center (Financial District)"": """", ""California Academy of Sciences (Golden Gate Park)"": ""Founded in 1853, 3 years after California joined the United States, the Academy was originally named the California Academy of Natural Sciences and was the first institution of its kind in the United States."", ""Intersection of California & Grant Streets (Richmond District)"": """", ""United Nations Plaza (Civic Center)"": ""United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved."", ""100 Block of Union Street (Cow Hollow)"": """", ""Hyatt Regency Hotel (5 Embarcadero Center)"": """", ""Lombard & Broderick Streets (Marina District)"": """", ""Lombard & Laguna Streets (Marina District)"": """", ""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""Marina Green (Marina District)"": ""Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition."", ""Lombard & Divisadero Streets (Marina District)"": """", ""Justin Herman Plaza"": """", ""Ghirardelli Square (900 North Point Street, Fisherman's Wharf)"": ""In 1893, chocolatier Domingo Ghirardelli bought an entire city block to house the headquarters of Ghirardelli Chocolates."", ""Chestnut & Divisadero Streets (Marina District)"": """", ""Lombard & Fillmore Streets (Marina District)"": """", ""2340 Francisco Street"": """", ""Broadway at Osgood Street (North Beach)"": """", ""Huntington Park (California & Taylor Streets, Nob Hill)"": ""The mansion of Arabella Huntington, widow of railroad magnate Collis P. Huntington, was destroyed in the 1906 earthquake and fire. Mrs. Huntington the donated the land on which the park now stands to the city."", ""Old St. Mary's Church (660 California Street at Grant)"": """", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Intersection of Fulton & 6th Streets (Chinatown)"": """", ""Merchant Exchange (465 California Street at Leidesdorff)"": """", ""SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)"": ""SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County."", ""Golden Gate Park"": ""Golden Gate Park is similar in shape but 20% larger than New York's Central Park.""}",0,0
Bullitt,1968,"Warner Brothers / Seven Arts
Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,"{""Cesar Chavez & Mission Street (Mission)"": """", ""1153-57 Taylor Street"": ""Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)"", ""John Muir Drive (Lake Merced)"": """", ""Columbus & Lombard Streets (North Beach)"": """", ""Brocklebank Apartments (1000 Mason Street)"": """", ""Marina Green (Marina District)"": ""Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. "", ""Larkin & Chestnut Streets (Russian Hill)"": """", ""SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)"": ""SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County."", ""Bay Bridge"": ""Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII."", ""20th & Vermont Streets (Potrero Hill)"": ""The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St."", ""Intersection of York & Peralta (Bernal Heights)"": """", ""Taylor & Vallejo Streets (Russian Hill)"": """", ""Candlestick Park Exit, Highway 101"": """", ""Kennedy Hotel (226 Embarcadero at Howard Street)"": ""Hotel was destroyed in the 1989 Loma Prieta earthquake. Corporate headquarters for the Gap reside at the location today."", ""Bayshore Blvd near Cesar Chavez (Bayview)"": """", ""Mansell & University Streets (Visitacion  Valley)"": """", ""Larkin & Francisco Streets (Russian Hill)"": """", ""Filbert & Taylor Streets (Russian Hill)"": """", ""Mark Hopkins Hotel (999 California Street)"": ""The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite."", ""Enrico's Caf\u00e9 (504 Broadway)"": """", ""Caf\u00e9 Cantata (2040 Union Street)"": """", ""McLaren Park (Visitacion  Valley)"": ""McLaren Park is the 2nd largest park in San Francisco, after Golden Gate Park."", ""2700 Vallejo Street (Pacific Heights)"": """"}",0,0
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,"{""Mason & California Streets (Nob Hill)"": """", ""Bay Bridge"": ""Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugenio Pacelli, who later became Pope Pius XII. "", ""1 Bush Street"": """", ""Harrison Street (The Embarcadero)"": """", ""Ritz-Carlton Hotel (600 Stockton Street)"": """", ""Merchant Exchange Building (465 California Street)"": """", ""Sheraton Palace Hotel (639 Market Street)"": ""The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. "", ""301 Howard Street"": """", ""City Club (155 Sansome Street)"": """", ""Washington Street & Waverly Place (Chinatown)"": """", ""Presidio (Golden Gate National Recreation Area)"": ""In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use."", ""Bank of America Building (555 California Street)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."", ""Stockton Tunnel Southern Approach Overhang (Bush & Stockton Streets, Chinatown)"": ""Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area."", ""Merchant Exchange Building"": """"}",0,0
Nine to Five,1980,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,Dolly Parton,"{""Albert S. Samuels Clock (856 Market Street between Powell and Stockton)"": """"}",0,0
Herbie Rides Again,1974,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers,"{""Castagnola's Restaurant (Fisherman's Wharf)"": """", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""Sheraton Palace Hotel (639 Market Street)"": ""The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.""}",0,0
Edtv,1999,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,"{""20th & Connecticut Streets (Potrero Hill)"": """", ""Castro Theatre (429 Castro Street, The Castro)"": ""The original Castro Theatre was built in 1910, a few doors down from the current theatre. The original theatre was converted into retail space, and the current theatre was built in the 1920s."", ""Center for the Arts, Yerba Buena Gardens (701 Mission Street)"": """", ""North Beach Video (1398 Grant Avenue at Green)"": ""The video store has since moved to an adjacent location."", ""Palace of Fine Arts (3301 Lyon Street)"": ""The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965."", ""1138 Filbert Street"": """", ""Mario's Bohemian Cigar Store (Washington Square)"": """", ""19 Green Street (North Beach)"": """", ""Moose's Restaurant (1652 Stockton)"": """"}",0,0
